##BLOCKS= 44         																																								
Note:
~End
Plate:	CAL148 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	12	96	1	8	None																			
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12																											
	26.6																																							
		0.0457	0.1177	0.0777	0.1239	0.2423	0.5195	0.5074	0.4834	0.5249	0.606	0.7849																												
		0.0456	0.0694	0.0736	0.1057	0.2261	0.3467	0.3088	0.4211	0.4543	0.4771	0.7499																												
		0.0451	0.069	0.0726	0.1065	0.2023	0.3659	0.4074	0.4062	0.4765	0.5707	0.5647																												
		0.0461	0.1629	0.3131	0.35	0.3417	0.399	0.3827	0.4287	0.4859	0.4777	0.6005																												
		0.0455	0.2239	0.3426	0.3868	0.3951	0.4625	0.4206	0.4724	0.5145	0.6547	0.5397																												
		0.0456	0.1597	0.4042	0.4932	0.4878	0.4588	0.5749	0.5206	0.5497	0.5994	0.4935																												
																																								
																																								
~End																																								
Plate:	MDA175VII nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	12	96	1	8	None																			
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12																											
	26.6																																							
		0.0468	0.0913	0.1173	0.1889	0.2796	0.3092	0.3326	0.329	0.3149	0.3872	0.3673																												
		0.0441	0.1103	0.0887	0.2413	0.3552	0.3379	0.4286	0.4246	0.475	0.3959	0.3415																												
		0.045	0.0941	0.0944	0.2063	0.3615	0.4207	0.3951	0.3923	0.4009	0.3783	0.3614																												
		0.0451	0.2729	0.3694	0.4348	0.5459	0.3752	0.4252	0.43	0.4751	0.445	0.3891																												
		0.0449	0.2654	0.3685	0.3432	0.4398	0.4083	0.4617	0.4082	0.3902	0.3513	0.3118																												
		0.0439	0.3033	0.2995	0.3155	0.3301	0.3181	0.3398	0.3897	0.3587	0.3434	0.3503																												
																																								
																																								
~End																																								
Plate:	AU655 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	12	96	1	8	None																			
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12																											
	26.6																																							
		0.0451	0.0799	0.0775	0.1275	0.3832	0.585	0.6812	0.5983	0.5689	0.5444	0.479																												
		0.0458	0.0663	0.0589	0.2124	0.6911	0.8055	0.7609	0.8138	0.5787	0.9168	0.5879																												
